premises_suburb, state, premises_post_code, division_name, polling_place_name, polling_place_id
"KEILOR DOWNS","VIC","3038","Fraser","Keilor Downs","3357"
"KEILOR","VIC","3036","Fraser","Keilor Village","83796"
"KINGS PARK","VIC","3021","Fraser","Kings Park (Fraser)","3359"
"MELBOURNE","VIC","3000","Fraser","Melbourne (Fraser)","91790"
"SOUTHBANK","VIC","3006","Fraser","Melbourne Central FRASER PPVC","97510"
"MELBOURNE","VIC","3000","Fraser","Melbourne FRASER PPVC","91799"
"KEILOR DOWNS","VIC","3038","Fraser","Monmia","31048"
"ST ALBANS","VIC","3021","Fraser","St Albans East","3361"
"ST ALBANS","VIC","3021","Fraser","St Albans North","3362"
"ST ALBANS","VIC","3021","Fraser","St Albans PPVC","82787"
"ST ALBANS","VIC","3021","Fraser","St Albans South","3363"
"ST ALBANS","VIC","3021","Fraser","St Albans South East","3364"
"ST ALBANS","VIC","3021","Fraser","St Albans West (Fraser)","3365"
"SUNSHINE","VIC","3020","Fraser","Sunshine","3699"
"SUNSHINE WEST","VIC","3020","Fraser","Sunshine FRASER PPVC","38309"
"SUNSHINE NORTH","VIC","3020","Fraser","Sunshine North","3367"
"SUNSHINE NORTH","VIC","3020","Fraser","Sunshine North West","3347"
"SUNSHINE","VIC","3020","Fraser","Sunvale","3350"
"SYDENHAM","VIC","3437","Fraser","Sydenham Central (Fraser)","46561"
"SYDENHAM","VIC","3038","Fraser","Sydenham East","83803"
"SYDENHAM","VIC","3038","Fraser","Sydenham West (Fraser)","47832"
"TAYLORS LAKES","VIC","3038","Fraser","Taylors Lakes","8907"
"TAYLORS LAKES","VIC","3038","Fraser","Taylors Lakes Central","47828"
"TAYLORS LAKES","VIC","3038","Fraser","Taylors Lakes North","33282"
"BRAYBROOK","VIC","3019","Fraser","Tottenham North (Fraser)","3701"
"POINT COOK","VIC","3030","Gellibrand","Alamanda (Gellibrand)","92004"
"ALTONA","VIC","3018","Gellibrand","Altona","4236"
"ALTONA MEADOWS","VIC","3028","Gellibrand","Altona Bay","8893"
"NEWPORT","VIC","3018","Gellibrand","Altona East","3676"
"ALTONA NORTH","VIC","3025","Gellibrand","Altona Gate","3677"
"ALTONA MEADOWS","VIC","3028","Gellibrand","Altona Green","58455"
"ALTONA MEADOWS","VIC","3028","Gellibrand","Altona Meadows","4237"
"ALTONA MEADOWS","VIC","3028","Gellibrand","Altona Meadows East","83734"
"ALTONA NORTH","VIC","3025","Gellibrand","Altona North","3678"
"ALTONA","VIC","3018","Gellibrand","Altona PPVC","83964"
"ALTONA","VIC","3018","Gellibrand","Altona West","4238"
"BRAYBROOK","VIC","3019","Gellibrand","BLV Gellibrand PPVC","65439"
"POINT COOK","VIC","3030","Gellibrand","Boardwalk (Gellibrand)","36443"
"POINT COOK","VIC","3030","Gellibrand","Boardwalk Central (Gellibrand)","47822"
"BRAYBROOK","VIC","3019","Gellibrand","Divisional Office (PREPOLL)","30203"
"POINT COOK","VIC","3030","Gellibrand","Featherbrook (Gellibrand)","92007"
"FOOTSCRAY","VIC","3011","Gellibrand","Footscray (Gellibrand)","3680"
"SEDDON","VIC","3011","Gellibrand","Footscray Central","3681"
"WEST FOOTSCRAY","VIC","3012","Gellibrand","Footscray GELLIBRAND PPVC","58762"
"FOOTSCRAY","VIC","3011","Gellibrand","Footscray South","3685"
"HOPPERS CROSSING","VIC","3029","Gellibrand","Hoppers Crossing GELLIBRAND PPVC","64709"
"POINT COOK","VIC","3030","Gellibrand","Innisfail (Gellibrand)","65111"
"YARRAVILLE","VIC","3013","Gellibrand","Kingsville","3687"
"LAVERTON","VIC","3028","Gellibrand","Laverton North","4248"
"MELBOURNE","VIC","3000","Gellibrand","Melbourne (Gellibrand)","31984"
"MELBOURNE","VIC","3000","Gellibrand","Melbourne GELLIBRAND PPVC","83904"
"NEWPORT","VIC","3015","Gellibrand","Newport","3693"
"NEWPORT","VIC","3015","Gellibrand","Newport East","3694"
"NEWPORT","VIC","3015","Gellibrand","Newport West","3695"
"POINT COOK","VIC","3030","Gellibrand","Point Cook (Gellibrand)","46531"
"POINT COOK","VIC","3030","Gellibrand","Sanctuary Lakes (Gellibrand)","83022"
"POINT COOK","VIC","3030","Gellibrand","Sanctuary Lakes South","82874"
"SEABROOK","VIC","3028","Gellibrand","Seabrook","32908"
"ALTONA","VIC","3018","Gellibrand","Seaholme","4256"
"SEDDON","VIC","3011","Gellibrand","Seddon","3696"
"SOUTH KINGSVILLE","VIC","3015","Gellibrand","South Kingsville","3698"
"SPOTSWOOD","VIC","3015","Gellibrand","Spotswood","3697"
"SUNSHINE WEST","VIC","3020","Gellibrand","Sunshine GELLIBRAND PPVC","63605"
"TRUGANINA","VIC","3029","Gellibrand","Truganina South (Gellibrand)","91999"
"WILLIAMSTOWN","VIC","3016","Gellibrand","Williamstown","3702"
"WILLIAMSTOWN","VIC","3016","Gellibrand","Williamstown Bayview","83733"
"WILLIAMSTOWN","VIC","3015","Gellibrand","Williamstown North","3703"
"WILLIAMSTOWN","VIC","3015","Gellibrand","Williamstown South","3704"
"WILLIAMSTOWN","VIC","3015","Gellibrand","Williamstown West","3705"
"YARRAVILLE","VIC","3013","Gellibrand","Yarraville","3706"
"YARRAVILLE","VIC","3013","Gellibrand","Yarraville Central","3707"
"YARRAVILLE","VIC","3013","Gellibrand","Yarraville South","3688"
"BEAUMARIS","VIC","3193","Goldstein","Beaumaris","4133"
"BEAUMARIS","VIC","3193","Goldstein","Beaumaris Central","83811"
"MENTONE","VIC","3194","Goldstein","Beaumaris East (Goldstein)","31765"
"BEAUMARIS","VIC","3193","Goldstein","Beaumaris North","4136"
"BENTLEIGH","VIC","3204","Goldstein","Bentleigh","3852"
"BENTLEIGH EAST","VIC","3165","Goldstein","Bentleigh Central (Goldstein)","31762"
"BENTLEIGH","VIC","3204","Goldstein","Bentleigh West","3853"
"BLACK ROCK","VIC","3193","Goldstein","Black Rock","4138"
"BLACK ROCK","VIC","3193","Goldstein","Black Rock South","4139"
"HEATHERTON","VIC","3202","Goldstein","BLV Goldstein PPVC","65443"
"BRIGHTON","VIC","3186","Goldstein","Brighton","3854"
"BRIGHTON","VIC","3186","Goldstein","Brighton Beach","3855"
"BRIGHTON EAST","VIC","3187","Goldstein","Brighton East","3857"
"BRIGHTON","VIC","3186","Goldstein","Brighton South","3862"
"CAULFIELD SOUTH","VIC","3162","Goldstein","Caulfield South","3860"
"CHELTENHAM","VIC","3192","Goldstein","Cheltenham (Goldstein)","4145"
"HEATHERTON","VIC","3202","Goldstein","Divisional Office (PREPOLL)","30205"
"ELSTERNWICK","VIC","3185","Goldstein","Elsternwick (Goldstein)","63669"
"CAULFIELD SOUTH","VIC","3162","Goldstein","Elsternwick Central","3859"
"SOUTH YARRA","VIC","3141","Higgins","Hawksburn Central","4668"
"CAULFIELD SOUTH","VIC","3162","Goldstein","Elsternwick North (Goldstein)","3864"
"BRIGHTON","VIC","3186","Goldstein","Elsternwick South","3865"
"BRIGHTON","VIC","3186","Goldstein","Gardenvale","3866"
"CAULFIELD SOUTH","VIC","3162","Goldstein","Glenhuntly","3896"
"CARNEGIE","VIC","3163","Goldstein","Glenhuntly East (Goldstein)","3897"
"HAMPTON","VIC","3188","Goldstein","Hampton","3867"
"HAMPTON","VIC","3188","Goldstein","Hampton Central","3868"
"HAMPTON EAST","VIC","3188","Goldstein","Hampton East","3877"
"HAMPTON","VIC","3188","Goldstein","Hampton PPVC","97599"
"HIGHETT","VIC","3190","Goldstein","Highett (Goldstein)","3869"
"HIGHETT","VIC","3190","Goldstein","Highett West","3872"
"BRIGHTON EAST","VIC","3187","Goldstein","Landcox","3873"
"HAMPTON","VIC","3188","Goldstein","Ludstone","3874"
"MCKINNON","VIC","3204","Goldstein","McKinnon","3902"
"MCKINNON","VIC","3204","Goldstein","McKinnon East (Goldstein)","3912"
"MALVERN","VIC","3144","Goldstein","Malvern GOLDSTEIN PPVC","83933"
"MELBOURNE","VIC","3000","Goldstein","Melbourne (Goldstein)","82810"
"SOUTHBANK","VIC","3006","Goldstein","Melbourne Central GOLDSTEIN PPVC","97507"
"MELBOURNE","VIC","3000","Goldstein","Melbourne GOLDSTEIN PPVC","83906"
"BRIGHTON","VIC","3186","Goldstein","Middle Brighton","3875"
"CHELTENHAM","VIC","3192","Goldstein","Moorabbin GOLDSTEIN PPVC","83939"
"BENTLEIGH EAST","VIC","3165","Goldstein","Moorabbin South (Goldstein)","64688"
"OAKLEIGH","VIC","3166","Goldstein","Oakleigh GOLDSTEIN PPVC","64648"
"ORMOND","VIC","3204","Goldstein","Ormond West","3913"
"MELBOURNE","VIC","3004","Goldstein","St Kilda GOLDSTEIN PPVC","65901"
"SANDRINGHAM","VIC","3191","Goldstein","Sandringham","3881"
"SANDRINGHAM","VIC","3191","Goldstein","Sandringham North","3882"
"KINGS PARK","VIC","3021","Gorton","Albanvale (Gorton)","92050"
"MELTON WEST","VIC","3337","Gorton","Arnolds Creek","67006"
"BRAYBROOK","VIC","3019","Gorton","BLV Gorton PPVC","65441"
"MELTON SOUTH","VIC","3338","Gorton","Brookfield","64674"
"CAROLINE SPRINGS","VIC","3023","Gorton","Brookside","34094"
"BURNSIDE","VIC","3023","Gorton","Burnside","97536"
"BURNSIDE HEIGHTS","VIC","3023","Gorton","Burnside Heights","83035"
"CAIRNLEA","VIC","3023","Gorton","Cairnlea (Gorton)","92053"
"CAROLINE SPRINGS","VIC","3023","Gorton","Caroline Springs","47831"
"MELTON SOUTH","VIC","3338","Gorton","Coburn","4251"
"CAROLINE SPRINGS","VIC","3023","Gorton","Creekside","46552"
"DEER PARK","VIC","3023","Gorton","Deer Park","4242"
"DEER PARK","VIC","3023","Gorton","Deer Park Central (Gorton)","83488"
"DEER PARK","VIC","3023","Gorton","Deer Park West","4244"
"DELAHEY","VIC","3037","Gorton","Delahey (Gorton)","92052"
"DERRIMUT","VIC","3030","Gorton","Derrimut","47825"
"DIGGERS REST","VIC","3427","Gorton","Diggers Rest","3352"
"BRAYBROOK","VIC","3019","Gorton","Divisional Office (PREPOLL)","35527"
"EXFORD","VIC","3338","Gorton","Exford","4245"
"PLUMPTON","VIC","3335","Gorton","Fraser Rise","83482"
"HILLSIDE","VIC","3037","Gorton","Hillside","36400"
"KINGS PARK","VIC","3021","Gorton","Kings Park (Gorton)","92051"
"KURUNJANG","VIC","3337","Gorton","Kurunjang","4246"
"MELTON","VIC","3337","Gorton","Melton","4250"
"MELTON","VIC","3337","Gorton","Melton Central","83780"
"MELTON","VIC","3337","Gorton","Melton GORTON PPVC","38304"
"MELTON SOUTH","VIC","3338","Gorton","Melton South","4252"
"HILLSIDE","VIC","3037","Gorton","Parkwood Green","46557"
"ROCKBANK","VIC","3335","Gorton","Rockbank","4255"
"ST ALBANS","VIC","3021","Gorton","St Albans West (Gorton)","64645"
"CAROLINE SPRINGS","VIC","3023","Gorton","Springside","47827"
"SUNSHINE WEST","VIC","3020","Gorton","Sunshine GORTON PPVC","64711"
"SYDENHAM","VIC","3437","Gorton","Sydenham Central (Gorton)","63745"
"SYDENHAM","VIC","3038","Gorton","Sydenham West (Gorton)","63747"
"TAYLORS HILL","VIC","3037","Gorton","Taylors Hill","47826"
"TOOLERN VALE","VIC","3337","Gorton","Toolern Vale","3334"
"MELTON WEST","VIC","3337","Gorton","Westlake","8897"
"MELTON","VIC","3337","Gorton","West Melton","4263"
"ARMADALE","VIC","3143","Higgins","Armadale","3917"
"ASHBURTON","VIC","3147","Higgins","Ashburton","3416"
"CAMBERWELL","VIC","3124","Higgins","BLV Higgins PPVC","65527"
"GLEN IRIS","VIC","3146","Higgins","Burwood","3425"
"GLEN IRIS","VIC","3146","Higgins","Burwood West","3919"
"GLEN IRIS","VIC","3146","Higgins","Camberwell South (Higgins)","3922"
"CARNEGIE","VIC","3163","Higgins","Carnegie","3889"
"CARNEGIE","VIC","3163","Higgins","Carnegie East","3890"
"MALVERN EAST","VIC","3145","Higgins","Carnegie North","3891"
"GLENHUNTLY","VIC","3163","Higgins","Carnegie Upper","31769"
"MALVERN EAST","VIC","3145","Higgins","Chadstone","3893"
"GLEN IRIS","VIC","3146","Higgins","Darling","3930"
"CAMBERWELL","VIC","3124","Higgins","Divisional Office (PREPOLL)","30206"
"SOUTH YARRA","VIC","3141","Higgins","Fawkner Park (Higgins)","65687"
"GLEN IRIS","VIC","3146","Higgins","Gardiner","3932"
"CARNEGIE","VIC","3163","Higgins","Glenhuntly East (Higgins)","63761"
"GLEN IRIS","VIC","3146","Higgins","Glen Iris","3933"
"ASHBURTON","VIC","3147","Higgins","Glen Iris South","3934"
"SOUTH YARRA","VIC","3141","Higgins","Hawksburn","4667"
"HAWTHORN","VIC","3122","Higgins","Hawthorn HIGGINS PPVC","65213"
"HUGHESDALE","VIC","3166","Higgins","Hughesdale","3899"
"BENTLEIGH EAST","VIC","3165","Higgins","Hughesdale South (Higgins)","97457"
"MALVERN","VIC","3144","Higgins","Malvern","3939"
"MALVERN","VIC","3144","Higgins","Malvern Central","3940"
"MALVERN EAST","VIC","3145","Higgins","Malvern East","3903"
"MALVERN","VIC","3144","Higgins","Malvern HIGGINS PPVC","34282"
"ARMADALE","VIC","3143","Higgins","Malvern Lower","3941"
"MALVERN EAST","VIC","3145","Higgins","Malvern South","3942"
"ARMADALE","VIC","3143","Higgins","Malvern West","3943"
"MELBOURNE","VIC","3000","Higgins","Melbourne (Higgins)","32004"
"SOUTHBANK","VIC","3006","Higgins","Melbourne Central HIGGINS PPVC","97512"
"MELBOURNE","VIC","3000","Higgins","Melbourne HIGGINS PPVC","83908"
"MURRUMBEENA","VIC","3163","Higgins","Murrumbeena","3904"
"MURRUMBEENA","VIC","3163","Higgins","Murrumbeena South","3905"
"OAKLEIGH","VIC","3166","Higgins","Oakleigh (Higgins)","34017"
"OAKLEIGH","VIC","3166","Higgins","Oakleigh HIGGINS PPVC","64656"
"PRAHRAN","VIC","3181","Higgins","Orrong","3944"
"PRAHRAN","VIC","3181","Higgins","Prahran (Higgins)","4673"
"PRAHRAN","VIC","3181","Higgins","Prahran East (Higgins)","4674"
"SOUTH YARRA","VIC","3141","Higgins","South Yarra","4688"
"SOUTH YARRA","VIC","3141","Higgins","South Yarra Central","83875"
"SOUTH YARRA","VIC","3141","Higgins","South Yarra HIGGINS PPVC","83886"
"TOORAK","VIC","3142","Higgins","Toorak","3945"
"TOORAK","VIC","3142","Higgins","Toorak Central","3946"
"TOORAK","VIC","3142","Higgins","Toorak West","3947"
"WINDSOR","VIC","3181","Higgins","Windsor (Higgins)","92054"
"BERWICK","VIC","3806","Holt","Berwick Fields (Holt)","92172"
"BERWICK","VIC","3806","Holt","Berwick HOLT PPVC","65902"
"BLIND BIGHT","VIC","3980","Holt","Blind Bight","33295"
"CRANBOURNE","VIC","3977","Holt","BLV Holt PPVC","65413"
"CRANBOURNE NORTH","VIC","3977","Holt","Casey Central (Holt)","83281"
"CLYDE","VIC","3978","Holt","Clyde (Holt)","82860"
"CLYDE NORTH","VIC","3978","Holt","Clyde North (Holt)","83280"
"HAMPTON PARK","VIC","3976","Holt","Coral Park","31050"
"CRANBOURNE NORTH","VIC","3977","Holt","Courtney Gardens","32372"
"CRANBOURNE","VIC","3977","Holt","Cranbourne","3960"
"CRANBOURNE EAST","VIC","3977","Holt","Cranbourne East","64603"
"CRANBOURNE WEST","VIC","3977","Holt","Cranbourne Heights","47810"
"CRANBOURNE","VIC","3977","Holt","Cranbourne HOLT PPVC","38290"
"CRANBOURNE NORTH","VIC","3977","Holt","Cranbourne North","47813"
"CRANBOURNE","VIC","3977","Holt","Cranbourne North East","47814"
"CRANBOURNE","VIC","3977","Holt","Cranbourne Park","3961"
"CRANBOURNE SOUTH","VIC","3977","Holt","Cranbourne South","3624"
"CRANBOURNE WEST","VIC","3977","Holt","Cranbourne South West","83266"
"CRANBOURNE","VIC","3977","Holt","Cranbourne West","11647"
"DANDENONG NORTH","VIC","3175","Holt","Dandenong HOLT PPVC","58783"
"DEVON MEADOWS","VIC","3977","Holt","Devon Meadows","3628"
"CRANBOURNE","VIC","3977","Holt","Divisional Office (PREPOLL)","30207"
"HAMPTON PARK","VIC","3976","Holt","Hampton Park","11655"
"HAMPTON PARK","VIC","3976","Holt","Hampton Park East","3966"
"NARRE WARREN SOUTH","VIC","3805","Holt","Hillsmeade (Holt)","63835"
"HAMPTON PARK","VIC","3976","Holt","Kilberry Valley","36441"
"LYNBROOK","VIC","3975","Holt","Lynbrook","46564"
"LYNBROOK","VIC","3975","Holt","Lynbrook South","83365"
"CRANBOURNE NORTH","VIC","3977","Holt","Lyndhurst","3967"
"LYNDHURST","VIC","3975","Holt","Lyndhurst West","64604"
"NARRE WARREN","VIC","3805","Holt","Narre Warren (Holt)","63833"
"NARRE WARREN SOUTH","VIC","3805","Holt","Narre Warren South","36442"
"NARRE WARREN SOUTH","VIC","3805","Holt","Oakgrove","83487"
"PEARCEDALE","VIC","3912","Holt","Pearcedale","3649"
"CRANBOURNE","VIC","3977","Holt","Rangebank","83361"
"NARRE WARREN SOUTH","VIC","3805","Holt","Strathaird","46567"
"TOORADIN","VIC","3980","Holt","Tooradin","3665"
"MULGRAVE","VIC","3170","Hotham","Albany Rise","3238"
"BENTLEIGH EAST","VIC","3165","Hotham","Bentleigh Central (Hotham)","3887"
"BENTLEIGH EAST","VIC","3165","Hotham","Bentleigh East","3988"
"HEATHERTON","VIC","3202","Hotham","BLV Hotham PPVC","65519"
"WHEELERS HILL","VIC","3150","Hotham","Brandon Park","3220"
"GLEN WAVERLEY","VIC","3150","Hotham","Brentwood (Hotham)","3221"
"CHADSTONE","VIC","3148","Hotham","Chadstone East (Hotham)","92247"
"CLARINDA","VIC","3169","Hotham","Clarinda","3992"
"CLARINDA","VIC","3169","Hotham","Clarinda South","3993"
"CLAYTON","VIC","3168","Hotham","Clayton","3223"
"CLAYTON","VIC","3168","Hotham","Clayton North","3225"
"CLAYTON SOUTH","VIC","3169","Hotham","Clayton South","3994"
"BENTLEIGH EAST","VIC","3165","Hotham","Coatesville","3895"
"HEATHERTON","VIC","3202","Hotham","Divisional Office (PREPOLL)","30208"
"MULGRAVE","VIC","3170","Hotham","Gladeswood","3227"
"OAKLEIGH SOUTH","VIC","3165","Hotham","Heatherton North","11527"
"BENTLEIGH EAST","VIC","3165","Hotham","Hughesdale South (Hotham)","3900"
"WHEELERS HILL","VIC","3150","Hotham","Jells Park","3233"
"MCKINNON","VIC","3204","Hotham","McKinnon East (Hotham)","65894"
"BENTLEIGH EAST","VIC","3165","Hotham","Moorabbin Heights","4014"
"CHELTENHAM","VIC","3192","Hotham","Moorabbin HOTHAM PPVC","83815"
"BENTLEIGH EAST","VIC","3165","Hotham","Moorabbin South (Hotham)","4004"
"MT WAVERLEY","VIC","3149","Hotham","Mount Waverley South (Hotham)","92233"
"MULGRAVE","VIC","3170","Hotham","Mulgrave","3237"
"MULGRAVE","VIC","3170","Hotham","Mulgrave HOTHAM PPVC","36432"
"OAKLEIGH","VIC","3166","Hotham","Oakleigh (Hotham)","3906"
"OAKLEIGH","VIC","3166","Hotham","Oakleigh Central","3907"
"OAKLEIGH EAST","VIC","3166","Hotham","Oakleigh East","3239"
"OAKLEIGH","VIC","3166","Hotham","Oakleigh HOTHAM PPVC","58653"
"OAKLEIGH SOUTH","VIC","3167","Hotham","Oakleigh South","3909"
"MT WAVERLEY","VIC","3149","Hotham","Pinewood (Hotham)","31846"
"SPRINGVALE","VIC","3171","Hotham","Sandown Park (Hotham)","92206"
"CLAYTON","VIC","3168","Hotham","Special Hospital Team 3","92208"
"SPRINGVALE","VIC","3171","Hotham","Springvale (Hotham)","4008"
"SPRINGVALE SOUTH","VIC","3172","Hotham","Springvale HOTHAM PPVC","34061"
"SPRINGVALE SOUTH","VIC","3172","Hotham","Springvale South (Hotham)","92270"
"SPRINGVALE","VIC","3171","Hotham","Springvale West","4010"
"SPRINGVALE SOUTH","VIC","3172","Hotham","Spring Valley","4011"
"MT WAVERLEY","VIC","3149","Hotham","Sussex Heights","3241"
"BENTLEIGH EAST","VIC","3165","Hotham","Valkstone","82833"
"WHEELERS HILL","VIC","3150","Hotham","Waverley Meadows","3243"
"GLEN WAVERLEY","VIC","3150","Hotham","Wayburne (Hotham)","92209"
"MULGRAVE","VIC","3170","Hotham","Wellington (Hotham)","3222"
"CLAYTON SOUTH","VIC","3169","Hotham","Westall","4012"
"WHEELERS HILL","VIC","3150","Hotham","Wheelers Hill","3246"
"WHEELERS HILL","VIC","3150","Hotham","Wheelers Hill South","3247"
"ALEXANDRA","VIC","3714","Indi","Alexandra","4307"
"FLOWERDALE","VIC","3717","Indi","Flowerdale","4324"
"GLENBURN","VIC","3717","Indi","Glenburn","4325"
"KINGLAKE","VIC","3763","Indi","Kinglake","4336"
"KINGLAKE WEST","VIC","3757","Indi","Kinglake West","4337"
"MARYSVILLE","VIC","3779","Indi","Marysville","4891"
"NARBETHONG","VIC","3778","Indi","Narbethong","4901"
"TAGGERTY","VIC","3714","Indi","Taggerty","4362"
"THORNTON","VIC","3712","Indi","Thornton","4366"
"TOOLANGI","VIC","3777","Indi","Toolangi","4367"
"YEA","VIC","3717","Indi","Yea","4379"
"ASPENDALE","VIC","3195","Isaacs","Aspendale","4131"
"ASPENDALE","VIC","3195","Isaacs","Aspendale Central","97601"
"ASPENDALE GARDENS","VIC","3195","Isaacs","Aspendale Gardens","11888"
"MENTONE","VIC","3194","Isaacs","Beaumaris East (Isaacs)","4135"
"HEATHERTON","VIC","3202","Isaacs","BLV Isaacs PPVC","65539"
"BONBEACH","VIC","3196","Isaacs","Bonbeach","4140"
"CARRUM","VIC","3197","Isaacs","Carrum","4141"
"KEYSBOROUGH","VIC","3173","Isaacs","Chandler (Isaacs)","92394"
"CHELSEA","VIC","3196","Isaacs","Chelsea","4142"
"CHELSEA","VIC","3196","Isaacs","Chelsea Central","4143"
"CHELSEA HEIGHTS","VIC","3195","Isaacs","Chelsea Heights","4144"
"CHELTENHAM","VIC","3192","Isaacs","Cheltenham (Isaacs)","31575"
"CHELTENHAM","VIC","3192","Isaacs","Cheltenham East","3989"
"CHELTENHAM","VIC","3192","Isaacs","Cheltenham North","3990"
"CHELTENHAM","VIC","3192","Isaacs","Cheltenham South","3991"
"SPRINGVALE SOUTH","VIC","3172","Isaacs","Coomoora (Isaacs)","63938"
"DANDENONG NORTH","VIC","3175","Isaacs","Dandenong ISAACS PPVC","58802"
"DANDENONG","VIC","3175","Isaacs","Dandenong South","3964"
"DINGLEY VILLAGE","VIC","3172","Isaacs","Dingley","97602"
"DINGLEY VILLAGE","VIC","3172","Isaacs","Dingley Village","3996"
"HEATHERTON","VIC","3202","Isaacs","Divisional Office (PREPOLL)","30210"
"EDITHVALE","VIC","3196","Isaacs","Edithvale","4148"
"FRANKSTON","VIC","3199","Isaacs","Frankston ISAACS PPVC","65868"
"HIGHETT","VIC","3190","Isaacs","Highett (Isaacs)","97454"
"KEYSBOROUGH","VIC","3173","Isaacs","Keysborough","3968"
"KEYSBOROUGH","VIC","3173","Isaacs","Keysborough South","83756"
"KEYSBOROUGH","VIC","3173","Isaacs","Keysborough West","65860"
"CHELTENHAM","VIC","3192","Isaacs","Kingston Heath","4000"
"DINGLEY VILLAGE","VIC","3172","Isaacs","Kingswood","4001"
"MENTONE","VIC","3194","Isaacs","Mentone","4150"
"MENTONE","VIC","3194","Isaacs","Mentone North","82991"
"MENTONE","VIC","3194","Isaacs","Mentone Park","4002"
"CHELTENHAM","VIC","3192","Isaacs","Moorabbin ISAACS PPVC","83817"
"BENTLEIGH EAST","VIC","3165","Isaacs","Moorabbin South (Isaacs)","92370"
"MOORABBIN","VIC","3189","Isaacs","Moorabbin South East","4005"
"MORDIALLOC","VIC","3195","Isaacs","Mordialloc East","4154"
"MORDIALLOC","VIC","3195","Isaacs","Mordialloc PPVC","97617"
"PARKDALE","VIC","3195","Isaacs","Parkdale","4155"
"PARKDALE","VIC","3195","Isaacs","Parkdale Central","4156"
"MORDIALLOC","VIC","3195","Isaacs","Parkdale East","4157"
"PATTERSON LAKES","VIC","3197","Isaacs","Patterson Central","83757"
"PATTERSON LAKES","VIC","3197","Isaacs","Patterson Lakes","4158"
"MOORABBIN","VIC","3189","Isaacs","Southmoor","4003"
"SPRINGVALE SOUTH","VIC","3172","Isaacs","Springvale ISAACS PPVC","65867"
"GREENSBOROUGH","VIC","3088","Jagajaga","Apollo Parkways","4308"
"ROSANNA","VIC","3084","Jagajaga","Banyule","4164"
"BELLFIELD","VIC","3081","Jagajaga","Bellfield","51219"
"HEIDELBERG","VIC","3084","Jagajaga","BLV Jagajaga PPVC","65556"
"BRIAR HILL","VIC","3088","Jagajaga","Briar Hill","4314"
"BUNDOORA","VIC","3083","Jagajaga","Bundoora (Jagajaga)","4165"
"DIAMOND CREEK","VIC","3089","Jagajaga","Diamond Creek","3380"
"DIAMOND CREEK","VIC","3089","Jagajaga","Diamond Creek East","3381"
"DIAMOND CREEK","VIC","3089","Jagajaga","Diamond Creek West","83654"
"HEIDELBERG","VIC","3084","Jagajaga","Divisional Office (PREPOLL)","30211"
"ELTHAM","VIC","3095","Jagajaga","Eltham (Jagajaga)","92404"
"ELTHAM NORTH","VIC","3095","Jagajaga","Eltham North (Jagajaga)","92406"
"IVANHOE","VIC","3079","Jagajaga","Fairy Hills","4168"
"ELTHAM NORTH","VIC","3095","Jagajaga","Glendale (Jagajaga)","58457"
"GREENSBOROUGH","VIC","3088","Jagajaga","Greenhills","4329"
"GREENSBOROUGH","VIC","3088","Jagajaga","Greensborough","4330"
"GREENSBOROUGH","VIC","3088","Jagajaga","Greensborough JAGAJAGA PPVC","58458"
"BUNDOORA","VIC","3083","Jagajaga","Grimshaw (Jagajaga)","4170"
"HEIDELBERG","VIC","3084","Jagajaga","Heidelberg","4172"
"HEIDELBERG","VIC","3084","Jagajaga","Heidelberg JAGAJAGA PPVC","38297"
"HEIDELBERG WEST","VIC","3081","Jagajaga","Heidelberg West","4175"
"IVANHOE","VIC","3079","Jagajaga","Ivanhoe","4176"
"IVANHOE EAST","VIC","3079","Jagajaga","Ivanhoe East","4178"
"LOWER PLENTY","VIC","3093","Jagajaga","Lower Plenty","4707"
"MACLEOD","VIC","3085","Jagajaga","Macleod","4182"
"MILL PARK","VIC","3082","Jagajaga","Mill Park JAGAJAGA PPVC","92436"
"MONTMORENCY","VIC","3094","Jagajaga","Montmorency","4347"
"MONTMORENCY","VIC","3094","Jagajaga","Montmorency South (Jagajaga)","4348"
"HEIDELBERG WEST","VIC","3081","Jagajaga","Olympic Village","4174"
"PLENTY","VIC","3090","Jagajaga","Plenty","4353"
"ROSANNA","VIC","3084","Jagajaga","Rosanna","4186"
"ELTHAM NORTH","VIC","3095","Jagajaga","St Helena (Jagajaga)","12081"
"SOUTH MORANG","VIC","3752","Jagajaga","South Morang JAGAJAGA PPVC","92431"
"VIEWBANK","VIC","3084","Jagajaga","Viewbank","4189"
"HEIDELBERG HEIGHTS","VIC","3081","Jagajaga","Waiora","4171"
"WATSONIA","VIC","3087","Jagajaga","Watsonia","4191"
"WATSONIA","VIC","3087","Jagajaga","Watsonia Central","4192"
"WATSONIA NORTH","VIC","3087","Jagajaga","Watsonia North","4193"
"WATTLE GLEN","VIC","3096","Jagajaga","Wattle Glen","11529"
"YALLAMBIE","VIC","3085","Jagajaga","Yallambie","4195"
"HAWTHORN","VIC","3122","Kooyong","Auburn","4198"
"HAWTHORN EAST","VIC","3123","Kooyong","Auburn North","4199"
"HAWTHORN EAST","VIC","3123","Kooyong","Auburn South","3918"
"BALWYN","VIC","3103","Kooyong","Balwyn","4200"
"BALWYN","VIC","3103","Kooyong","Balwyn Central","4201"
"BALWYN NORTH","VIC","3104","Kooyong","Balwyn North","4203"
